"Subregion","Model","NPOT.per.yr","Match.per","No.Match.per"
"GreatPlainsSouth","EC-Earth3-Veg",1,83.1,16.9
"GreatPlainsSouth","EC-Earth3-Veg",2,89.7,10.3
"GreatPlainsSouth","EC-Earth3-Veg",3,94,6
"GreatPlainsSouth","EC-Earth3-Veg-LR",1,90.8,9.2
"GreatPlainsSouth","EC-Earth3-Veg-LR",2,93.7,6.3
"GreatPlainsSouth","EC-Earth3-Veg-LR",3,96,4
"GreatPlainsSouth","FGOALS-f3-L",1,87.8,12.2
"GreatPlainsSouth","FGOALS-f3-L",2,92.6,7.4
"GreatPlainsSouth","FGOALS-f3-L",3,93.8,6.2
"GreatPlainsSouth","FGOALS-g3",1,77.4,22.6
"GreatPlainsSouth","FGOALS-g3",2,85.9,14.1
"GreatPlainsSouth","FGOALS-g3",3,85.1,14.9
"GreatPlainsSouth","GFDL-ESM4",1,79.9,20.1
"GreatPlainsSouth","GFDL-ESM4",2,91.9,8.1
"GreatPlainsSouth","GFDL-ESM4",3,90.2,9.8
"GreatPlainsSouth","GISS-E2-1-G",1,88.5,11.5
"GreatPlainsSouth","GISS-E2-1-G",2,95.3,4.7
"GreatPlainsSouth","GISS-E2-1-G",3,95.5,4.5
"GreatPlainsSouth","GISS-E2-1-H",1,90.5,9.5
"GreatPlainsSouth","GISS-E2-1-H",2,91.3,8.7
"GreatPlainsSouth","GISS-E2-1-H",3,94.2,5.8
"GreatPlainsSouth","GISS-E2-2-G",1,87.3,12.7
"GreatPlainsSouth","GISS-E2-2-G",2,91.9,8.1
"GreatPlainsSouth","GISS-E2-2-G",3,92.4,7.6
"GreatPlainsSouth","IITM-ESM",1,78.3,21.7
"GreatPlainsSouth","IITM-ESM",2,81.2,18.8
"GreatPlainsSouth","IITM-ESM",3,79.5,20.5
"GreatPlainsSouth","INM-CM4-8",1,75.1,24.9
"GreatPlainsSouth","INM-CM4-8",2,83.4,16.6
"GreatPlainsSouth","INM-CM4-8",3,86.4,13.6
"GreatPlainsSouth","INM-CM5-0",1,98.4,1.6
