"NPOT.per.yr","Threshold","Model.name","N.subregions"
1,90,"BCC-CSM2-MR",4
1,90,"CAMS-CSM1-0",4
1,90,"CAS-ESM2-0",5
1,90,"CESM2",2
1,90,"CESM2-WACCM",1
1,90,"CMCC-CM2-SR5",2
1,90,"CMCC-ESM2",1
1,90,"CNRM-CM6-1",0
1,90,"CNRM-CM6-1-HR",5
1,90,"CNRM-ESM2-1",2
1,90,"EC-Earth3",4
1,90,"EC-Earth3-Veg",1
1,90,"EC-Earth3-Veg-LR",6
1,90,"FGOALS-f3-L",2
1,90,"FGOALS-g3",3
1,90,"GFDL-ESM4",5
1,90,"GISS-E2-1-G",0
1,90,"GISS-E2-1-H",4
1,90,"GISS-E2-2-G",3
1,90,"IITM-ESM",1
1,90,"INM-CM4-8",3
1,90,"INM-CM5-0",4
1,90,"IPSL-CM6A-LR",2
1,90,"KACE-1-0-G",2
1,90,"MCM-UA-1-0",0
1,90,"MIROC6",2
1,90,"MPI-ESM1-2-HR",4
1,90,"MPI-ESM1-2-LR",1
1,90,"MRI-ESM2-0",2
1,90,"NorESM2-LM",2
1,90,"NorESM2-MM",4
1,90,"TaiESM1",3
1,90,"UKESM1-0-LL",1
2,90,"ACCESS-CM2",4
2,90,"ACCESS-ESM1-5",0
2,90,"AWI-CM-1-1-MR",4
2,90,"BCC-CSM2-MR",5
2,90,"CAMS-CSM1-0",6
2,90,"CAS-ESM2-0",6
2,90,"CESM2",2
2,90,"CESM2-WACCM",4
2,90,"CMCC-CM2-SR5",5
2,90,"CMCC-ESM2",2
2,90,"CNRM-CM6-1",2
2,90,"CNRM-CM6-1-HR",5
2,90,"CNRM-ESM2-1",5
2,90,"EC-Earth3",5
2,90,"EC-Earth3-Veg",2
2,90,"EC-Earth3-Veg-LR",6
2,90,"FGOALS-f3-L",4
2,90,"FGOALS-g3",4
2,90,"GFDL-ESM4",6
2,90,"GISS-E2-1-G",4
2,90,"GISS-E2-1-H",5
2,90,"GISS-E2-2-G",5
2,90,"IITM-ESM",3
2,90,"INM-CM4-8",4
2,90,"INM-CM5-0",5
2,90,"IPSL-CM6A-LR",3
2,90,"KACE-1-0-G",3
2,90,"MCM-UA-1-0",2
2,90,"MIROC6",4
2,90,"MPI-ESM1-2-HR",5
2,90,"MPI-ESM1-2-LR",4
2,90,"MRI-ESM2-0",3
2,90,"NorESM2-LM",5
2,90,"NorESM2-MM",5
2,90,"TaiESM1",5
2,90,"UKESM1-0-LL",2
3,90,"ACCESS-CM2",5
3,90,"ACCESS-ESM1-5",1
3,90,"AWI-CM-1-1-MR",5
3,90,"BCC-CSM2-MR",6
3,90,"CAMS-CSM1-0",6
3,90,"CAS-ESM2-0",7
3,90,"CESM2",4
3,90,"CESM2-WACCM",5
3,90,"CMCC-CM2-SR5",4
3,90,"CMCC-ESM2",3
3,90,"CNRM-CM6-1",4
3,90,"CNRM-CM6-1-HR",5
3,90,"CNRM-ESM2-1",5
3,90,"EC-Earth3",5
3,90,"EC-Earth3-Veg",3
3,90,"EC-Earth3-Veg-LR",6
3,90,"FGOALS-f3-L",4
3,90,"FGOALS-g3",5
3,90,"GFDL-ESM4",6
3,90,"GISS-E2-1-G",5
3,90,"GISS-E2-1-H",6
3,90,"GISS-E2-2-G",5
3,90,"IITM-ESM",5
3,90,"INM-CM4-8",5
3,90,"INM-CM5-0",6
3,90,"IPSL-CM6A-LR",3
3,90,"KACE-1-0-G",4
3,90,"MCM-UA-1-0",2
3,90,"MIROC6",4
3,90,"MPI-ESM1-2-HR",6
3,90,"MPI-ESM1-2-LR",4
3,90,"MRI-ESM2-0",4
3,90,"NorESM2-LM",5
3,90,"NorESM2-MM",5
3,90,"TaiESM1",6
3,90,"UKESM1-0-LL",3
