"Season","Site.name","Diff.ratio.mu.mid","Diff.ratio.mu.end","Diff.ratio.N.mid","Diff.ratio.N.end","Diff.count.per.year.mid","Diff.count.per.year.end"
"JJA","01049000",0.0159670745231929,0.0354765539264225,0,0,0,0
"Annual","01049000",NA,NA,NA,NA,0.5,0.6
"SON","01049265",-0.0027669699532622,-0.019383876257271,0,0,0,0
"DJF","01049265",0.0589772419758545,0.0771790343718592,0.0909090909090909,0.142857142857143,0.1,0.166666666666667
"MAM","01049265",-0.0615119775155621,-0.0868184816254419,-0.0909090909090909,-0.142857142857143,0,0
"JJA","01049265",0.00530170549296988,0.0290233235108539,0,0,0,0
"Annual","01049265",NA,NA,NA,NA,0.5,0.633333333333333
"SON","01049500",0.00335805334826323,0.000158463848889893,0,0,0,0
"DJF","01049500",0.0398108838419148,0.0468290038326243,0.032258064516129,0.032258064516129,0.0333333333333333,0.0333333333333333
"MAM","01049500",-0.0536390141115987,-0.0752624876542439,-0.032258064516129,-0.032258064516129,0,0
"JJA","01049500",0.0104700769214206,0.0282750199727296,0,0,0,0
"Annual","01049500",NA,NA,NA,NA,0.366666666666666,0.566666666666667
"SON","01052500",0.0159084163482199,0.00322155681354155,0,0,0,0
"DJF","01052500",-0.00724295333160986,-0.00676968475585585,0,0,0,0
"MAM","01052500",-0.00339786058656122,0.00847153504408082,0,0,0.1,0.0333333333333334
"JJA","01052500",-0.00526760243004874,-0.00492340710176634,0,0,0,0
"Annual","01052500",NA,NA,NA,NA,0.0333333333333334,0.0333333333333334
"SON","01053500",-0.00432086054053764,-0.0137064199015244,0,0,0,0
"DJF","01053500",0.0171109174160334,0.0163880273143175,0,0,0,0
"MAM","01053500",-0.00992614031847505,-0.0268211130926505,0,-0.119047619047619,0.233333333333333,0.233333333333333
"JJA","01053500",-0.00286391655702078,0.0241395056798574,0,0.119047619047619,0,0.166666666666667
"Annual","01053500",NA,NA,NA,NA,0.866666666666666,1.13333333333333
"SON","01054000",-0.00262843993546232,-0.0151606438549447,0,0,0,0
"DJF","01054000",-0.00233591658840846,-0.00725729840993212,0,0,0,0
"MAM","01054000",-0.00163135500081435,-0.0147289835544003,0,0,0.233333333333333,0.266666666666667
"JJA","01054000",0.00659571152468516,0.037146925819277,0,0,0,0
"Annual","01054000",NA,NA,NA,NA,0.433333333333333,0.766666666666666
"SON","01054200",-0.00390316627721771,-0.0243916286780335,0.0333333333333333,0,0.0333333333333333,0
"DJF","01054200",0.0216386085329562,0.0347164208008667,0,0,0,0
"MAM","01054200",-0.0164022313614928,-0.0227496155189507,-0.0333333333333333,0,0.0333333333333333,0.0333333333333333
"JJA","01054200",-0.00133321089424564,0.0124248233961174,0,0,0,0
"Annual","01054200",NA,NA,NA,NA,0.266666666666667,0.3
"SON","01054500",0.000675744567772502,-0.0170939660775425,0,0,0,0
"DJF","01054500",0.0285490593931339,0.0287589859008977,0,0,0,0
"MAM","01054500",-0.0291575827915205,-0.0277650151724117,0,0,0,0
"JJA","01054500",-6.72211693859004e-05,0.0160999953490565,0,0,0,0
"Annual","01054500",NA,NA,NA,NA,0.366666666666667,0.333333333333333
"SON","01055000",0.00816584832358164,-0.00537827601794635,0,0,0,0
