"Year","Month","Value","Variable"
1982,12,187.382,"pr"
1983,1,127.055,"pr"
1983,2,252.448,"pr"
1983,3,158.73,"pr"
1983,4,56.37,"pr"
1983,5,118.571,"pr"
1983,6,6.545,"pr"
1983,7,2.143,"pr"
1983,8,9.919,"pr"
1983,9,9.898,"pr"
1983,10,206.292,"pr"
1983,11,92.029,"pr"
1983,12,273.419,"pr"
1984,1,229.742,"pr"
1984,2,332.521,"pr"
1984,3,226.786,"pr"
1984,4,156.633,"pr"
1984,5,23.254,"pr"
1984,6,5.496,"pr"
1984,7,2.809,"pr"
1984,8,0.201,"pr"
1984,9,23.654,"pr"
1984,10,57.3,"pr"
1984,11,206.792,"pr"
1984,12,14.854,"pr"
1985,1,209.594,"pr"
1985,2,75.938,"pr"
1985,3,88.282,"pr"
1985,4,52.295,"pr"
1985,5,9.349,"pr"
1985,6,1.385,"pr"
1985,7,0.744,"pr"
1985,8,8.345,"pr"
1985,9,35.825,"pr"
1985,10,35.023,"pr"
1985,11,314.271,"pr"
1985,12,312.458,"pr"
1986,1,331.317,"pr"
1986,2,235.705,"pr"
1986,3,291.973,"pr"
1986,4,54.437,"pr"
1986,5,104.879,"pr"
1986,6,28.084,"pr"
1986,7,1.911,"pr"
1986,8,6.618,"pr"
1986,9,0.624,"pr"
1986,10,45.789,"pr"
1986,11,169.287,"pr"
1986,12,253.968,"pr"
1987,1,167.859,"pr"
1987,2,167.723,"pr"
1987,3,84.492,"pr"
1987,4,146.324,"pr"
1987,5,46.648,"pr"
1987,6,7.92,"pr"
1987,7,0.886,"pr"
1987,8,19.252,"pr"
1987,9,60.668,"pr"
1987,10,65.306,"pr"
1987,11,64.157,"pr"
1987,12,350.441,"pr"
1988,1,311.879,"pr"
1988,2,50.796,"pr"
1988,3,146.552,"pr"
1988,4,90.217,"pr"
1988,5,41.84,"pr"
1988,6,36.249,"pr"
1988,7,0.488,"pr"
1988,8,0.883,"pr"
1988,9,23.891,"pr"
1988,10,220.534,"pr"
1988,11,82.425,"pr"
1988,12,63.005,"pr"
1989,1,125.787,"pr"
1989,2,96.043,"pr"
1989,3,51.125,"pr"
1989,4,86.68,"pr"
1989,5,115.745,"pr"
1989,6,13.848,"pr"
1989,7,1.594,"pr"
1989,8,0.508,"pr"
1989,9,0.486,"pr"
1989,10,118.758,"pr"
1989,11,12.117,"pr"
1989,12,129.968,"pr"
1990,1,151.367,"pr"
1990,2,106.115,"pr"
1990,3,122.163,"pr"
1990,4,79.808,"pr"
1990,5,22.199,"pr"
1990,6,0.77,"pr"
1990,7,37.868,"pr"
1990,8,0.833,"pr"
1990,9,0.946,"pr"
1990,10,40.901,"pr"
1990,11,166.811,"pr"
1990,12,180.581,"pr"
1991,1,302.544,"pr"
1991,2,163.059,"pr"
1991,3,237.879,"pr"
1991,4,140.194,"pr"
1991,5,45.694,"pr"
1991,6,14.43,"pr"
1991,7,0.928,"pr"
1991,8,8.683,"pr"
1991,9,12.273,"pr"
1991,10,43.981,"pr"
1991,11,167.003,"pr"
1991,12,132.861,"pr"
1992,1,157.743,"pr"
1992,2,158.773,"pr"
1992,3,59.651,"pr"
1992,4,57.821,"pr"
1992,5,111.739,"pr"
1992,6,10.031,"pr"
1992,7,7.654,"pr"
1992,8,20.916,"pr"
1992,9,48.297,"pr"
1992,10,70.589,"pr"
1992,11,247.291,"pr"
1992,12,97.327,"pr"
1993,1,253.774,"pr"
1993,2,204.881,"pr"
1993,3,129.905,"pr"
1993,4,117.999,"pr"
1993,5,26.589,"pr"
1993,6,79.003,"pr"
1993,7,3.094,"pr"
1993,8,4.458,"pr"
1993,9,5.781,"pr"
1993,10,41.47,"pr"
1993,11,380.938,"pr"
1993,12,204.328,"pr"
1994,1,97.204,"pr"
1994,2,29.552,"pr"
1994,3,163.099,"pr"
1994,4,88.68,"pr"
1994,5,58.071,"pr"
1994,6,143.081,"pr"
1994,7,19.831,"pr"
1994,8,1.273,"pr"
1994,9,15.385,"pr"
1994,10,270.98,"pr"
1994,11,46.771,"pr"
1994,12,246.941,"pr"
1995,1,88.201,"pr"
1995,2,135.824,"pr"
1995,3,141.691,"pr"
1995,4,139.265,"pr"
1995,5,41.325,"pr"
1995,6,58.545,"pr"
1995,7,7.086,"pr"
1995,8,22.615,"pr"
1995,9,15.919,"pr"
1995,10,78.367,"pr"
1995,11,112.235,"pr"
1995,12,115.533,"pr"
1996,1,77.088,"pr"
1996,2,73.261,"pr"
1996,3,154.685,"pr"
1996,4,115.077,"pr"
1996,5,90.64,"pr"
1996,6,10.149,"pr"
1996,7,28.418,"pr"
